Locale (BCP-47)	Text-to-speech voices
	es-VE-SebastianNeural (Male)
et-EE	et-EE-AnuNeural2 (Female)
	et-EE-KertNeural2 (Male)
eu-ES	eu-ES-AinhoaNeural2 (Female)
	eu-ES-AnderNeural2 (Male)
fa-IR	fa-IR-DilaraNeural2 (Female)
	fa-IR-FaridNeural2 (Male)
fi-FI	fi-FI-SelmaNeural (Female)
	fi-FI-HarriNeural (Male)
	fi-FI-NooraNeural (Female)
fil-PH	fil-PH-BlessicaNeural2 (Female)
	fil-PH-AngeloNeural2 (Male)
fr-BE	fr-BE-CharlineNeural (Female)
	fr-BE-GerardNeural (Male)
fr-CA	fr-CA-SylvieNeural (Female)
	fr-CA-JeanNeural (Male)
	fr-CA-AntoineNeural (Male)
	fr-CA-ThierryNeural (Male)
fr-CH	fr-CH-ArianeNeural (Female)
	fr-CH-FabriceNeural (Male)
fr-FR	fr-FR-DeniseNeural (Female)
	fr-FR-HenriNeural (Male)
	fr-FR-AlainNeural (Male)
	fr-FR-BrigitteNeural (Female)
	fr-FR-CelesteNeural (Female)
	fr-FR-ClaudeNeural (Male)
	fr-FR-CoralieNeural (Female)
	fr-FR-EloiseNeural (Female, Child)
	fr-FR-JacquelineNeural (Female)
	fr-FR-JeromeNeural (Male)
	fr-FR-JosephineNeural (Female)
	fr-FR-MauriceNeural (Male)
	fr-FR-VivienneNeural (Female)
	fr-FR-YvesNeural (Male)
	fr-FR-YvetteNeural (Female)
ga-IE	ga-IE-OrlaNeural2 (Female)
	ga-IE-ColmNeural2 (Male)
gl-ES	gl-ES-SabelaNeural2 (Female)
	gl-ES-RoiNeural2 (Male)
gu-IN	gu-IN-DhwaniNeural (Female)
	gu-IN-NiranjanNeural (Male)
he-IL	he-IL-HilaNeural (Female)
	he-IL-AvriNeural (Male)
hi-IN	hi-IN-SwaraNeural (Female)
	hi-IN-MadhurNeural (Male)
hr-HR	hr-HR-GabrijelaNeural (Female)
	hr-HR-SreckoNeural (Male)
hu-HU	hu-HU-NoemiNeural (Female)
	hu-HU-TamasNeural (Male)
hy-AM	hy-AM-AnahitNeural2 (Female)
	hy-AM-HaykNeural2 (Male)
id-ID	id-ID-GadisNeural (Female)
	id-ID-ArdiNeural (Male)
is-IS	is-IS-GudrunNeural2 (Female)
	is-IS-GunnarNeural2 (Male)
it-IT	it-IT-ElsaNeural (Female)
	it-IT-IsabellaNeural (Female)
	it-IT-DiegoNeural (Male)
	it-IT-BenignoNeural (Male)
	it-IT-CalimeroNeural (Male)
	it-IT-CataldoNeural (Male)
	it-IT-FabiolaNeural (Female)
	it-IT-FiammaNeural (Female)
	it-IT-GianniNeural (Male)
	it-IT-GiuseppeNeural (Male)
	it-IT-ImeldaNeural (Female)
	it-IT-IrmaNeural (Female)
	it-IT-LisandroNeural (Male)
	it-IT-PalmiraNeural (Female)
	it-IT-PierinaNeural (Female)
	it-IT-RinaldoNeural (Male)
ja-JP	ja-JP-NanamiNeural (Female)
	ja-JP-KeitaNeural (Male)
	ja-JP-AoiNeural (Female)
	ja-JP-DaichiNeural (Male)
	ja-JP-MayuNeural (Female)
	ja-JP-NaokiNeural (Male)
	ja-JP-ShioriNeural (Female)
jv-ID	jv-ID-SitiNeural2 (Female)
	jv-ID-DimasNeural2 (Male)
ka-GE	ka-GE-EkaNeural2 (Female)
	ka-GE-GiorgiNeural2 (Male)
kk-KZ	kk-KZ-AigulNeural2 (Female)
	kk-KZ-DauletNeural2 (Male)
km-KH	km-KH-SreymomNeural2 (Female)
	km-KH-PisethNeural2 (Male)
kn-IN	kn-IN-SapnaNeural2 (Female)
	kn-IN-GaganNeural2 (Male)
ko-KR	ko-KR-SunHiNeural (Female)
	ko-KR-InJoonNeural (Male)
	ko-KR-BongJinNeural (Male)
	ko-KR-GookMinNeural (Male)
	ko-KR-HyunsuNeural (Male)
	ko-KR-JiMinNeural (Female)
	ko-KR-SeoHyeonNeural (Female)
	ko-KR-SoonBokNeural (Female)
	ko-KR-YuJinNeural (Female)
